t, ñ	wz	
5,51	3422	
5,515	3253	
5,52	3072	
5,525	2963	
5,53	3034	
5,535	3284	
5,54	3849	
5,545	4141	
5,55	4207	
5,555	4079	
5,56	3838	
5,565	3571	
5,57	3425	
5,575	3529	
5,58	3833	
5,585	4215	
5,59	4568	
5,595	4753	
5,6	4692	
5,605	4407	
5,61	4032	
5,615	3720	
5,62	3601	
5,625	3933	
5,63	4387	
5,635	4854	
5,64	5179	
5,645	5216	
5,65	4932	
5,655	4474	
5,66	3993	
5,665	3689	
5,67	3667	
5,675	3985	
5,68	4444	
5,685	4912	
5,69	5168	
5,695	5131	
5,7	4766	
5,705	3989	
5,71	3595	
5,715	3443	
5,72	3612	
5,725	3985	
5,73	4432	
5,735	4752	
5,74	4840	
5,745	4644	
5,75	4246	
5,755	3780	
5,76	3427	
5,765	3276	
5,77	3372	
5,775	3667	
5,78	3977	
5,785	4199	
5,79	4044	
5,795	3707	
5,8	3272	
5,805	2914	
5,81	2713	
5,815	2740	
5,82	2924	
5,825	3127	
5,83	3253	
5,835	3223	
5,84	3009	
5,845	2702	
5,85	2428	
5,855	2243	
5,86	2192	
5,865	2335	
5,87	2421	
5,875	2408	
5,88	2278	
5,885	1999	
5,89	1681	
5,895	1379	
5,9	1211	
5,905	1185	
5,91	1282	
5,915	1410	
5,92	1513	
5,925	1469	
5,93	1259	
5,935	920	
5,94	562	
5,945	198	
5,95	162	
5,955	304	
5,96	485	
5,965	641	
5,97	639	
5,975	447	
5,98	95	
5,985	-317	
5,99	-696	
5,995	-922	
6,0	-987	
6,005	-878	
6,01	-676	
6,015	-521	
6,02	-488	
6,025	-784	
6,03	-1125	
6,035	-1523	
6,04	-1819	
6,045	-1973	
6,05	-1948	
6,055	-1785	
6,06	-1582	
6,065	-1448	
6,07	-1456	
6,075	-1620	
6,08	-1939	
6,085	-2282	
6,09	-2588	
6,095	-2768	
6,1	-2823	
6,105	-2740	
6,11	-2547	
6,115	-2500	
6,12	-2560	
6,125	-2709	
6,13	-2944	
6,135	-3220	
6,14	-3411	
6,145	-3491	
6,15	-3465	
6,155	-3365	
6,16	-3230	
6,165	-3160	
6,17	-3182	
6,175	-3295	
6,18	-3497	
6,185	-3702	
6,19	-3894	
6,195	-3906	
6,2	-3864	
6,205	-3776	
6,21	-3726	
6,215	-3750	
6,22	-3869	
6,225	-4018	
6,23	-4176	
6,235	-4269	
6,24	-4284	
6,245	-4191	
6,25	-4064	
6,255	-3944	
6,26	-3900	
6,265	-3947	
6,27	-4158	
6,275	-4323	
6,28	-4407	
6,285	-4392	
6,29	-4254	
6,295	-4025	
6,3	-3849	
6,305	-3743	
6,31	-3788	
6,315	-3987	
6,32	-4255	
6,325	-4455	
6,33	-4533	
6,335	-4457	
6,34	-4198	
6,345	-3882	
6,35	-3514	
6,355	-3435	
6,36	-3567	
6,365	-3809	
6,37	-4054	
6,375	-4208	
6,38	-4176	
6,385	-3939	
6,39	-3581	
6,395	-3209	
6,4	-2958	
6,405	-2886	
6,41	-3031	
6,415	-3323	
6,42	-3604	
6,425	-3746	
6,43	-3588	
6,435	-3270	
6,44	-2856	
6,445	-2538	
6,45	-2383	
6,455	-2421	
6,46	-2583	
6,465	-2814	
6,47	-2954	
6,475	-2938	
6,48	-2729	
6,485	-2402	
6,49	-2045	
6,495	-1772	
6,5	-1632	
6,505	-1671	
6,51	-1833	
6,515	-2040	
6,52	-2077	
6,525	-1937	
6,53	-1686	
6,535	-1397	
6,54	-1150	
6,545	-1008	
6,55	-1018	
6,555	-1141	
6,56	-1238	
6,565	-1264	
6,57	-1157	
6,575	-906	
6,58	-582	
6,585	-295	
6,59	-112	
6,595	-119	
6,6	-247	
6,605	-370	
6,61	-381	
6,615	-254	
6,62	9	
6,625	330	
6,63	629	
6,635	798	
6,64	775	
6,645	647	
6,65	475	
6,655	330	
6,66	320	
6,665	525	
6,67	865	
6,675	1420	
6,68	1674	
6,685	1738	
6,69	1606	
6,695	1385	
6,7	1188	
6,705	1127	
6,71	1239	
6,715	1522	
6,72	1917	
6,725	2251	
6,73	2467	
6,735	2476	
6,74	2332	
6,745	2078	
6,75	1855	
6,755	1775	
6,76	1956	
6,765	2281	
6,77	2630	
6,775	2893	
6,78	3021	
6,785	2975	
6,79	2786	
6,795	2578	
6,8	2446	
6,805	2449	
6,81	2599	
6,815	2862	
6,82	3134	
6,825	3344	
6,83	3405	
6,835	3261	
6,84	3080	
6,845	2920	
6,85	2858	
6,855	2935	
6,86	3069	
6,865	3249	
6,87	3367	
6,875	3438	
6,88	3414	
6,885	3313	
6,89	3211	
6,895	3154	
6,9	3170	
6,905	3218	
6,91	3335	
6,915	3480	
6,92	3465	
6,925	3406	
6,93	3276	
6,935	3158	
6,94	3081	
6,945	3097	
6,95	3168	
6,955	3293	
6,96	3372	
6,965	3377	
6,97	3292	
6,975	3139	
6,98	2950	
6,985	2823	
6,99	2785	
6,995	2839	
7,0	3038	
7,005	3151	
7,01	3195	
7,015	3110	
7,02	2954	
7,025	2730	
7,03	2519	
7,035	2391	
7,04	2360	
7,045	2434	
7,05	2590	
7,055	2731	
7,06	2780	
7,065	2707	
7,07	2503	
7,075	2205	
7,08	1821	
7,085	1702	
7,09	1733	
7,095	1874	
7,1	2035	
7,105	2157	
7,11	2171	
7,115	2051	
7,12	1822	
7,125	1538	
7,13	1301	
7,135	1154	
7,14	1109	
7,145	1173	
7,15	1287	
7,155	1401	
7,16	1391	
7,165	1223	
7,17	996	
7,175	717	
7,18	492	
7,185	348	
7,19	338	
7,195	427	
7,2	534	
7,205	599	
7,21	563	
7,215	445	
7,22	245	
7,225	28	
7,23	-136	
7,235	-232	
7,24	-247	
7,245	-190	
7,25	-166	
7,255	-199	
7,26	-307	
7,265	-443	
7,27	-629	
7,275	-784	
7,28	-886	
7,285	-919	
7,29	-908	
7,295	-885	
7,3	-902	
7,305	-983	
7,31	-1126	
7,315	-1288	
7,32	-1451	
7,325	-1483	
7,33	-1445	
7,335	-1374	
7,34	-1312	
7,345	-1346	
7,35	-1453	
7,355	-1635	
7,36	-1843	
7,365	-2023	
7,37	-2123	
7,375	-2120	
7,38	-2016	
7,385	-1878	
7,39	-1808	
7,395	-1808	
7,4	-2030	
7,405	-2278	
7,41	-2500	
7,415	-2633	
7,42	-2637	
7,425	-2523	
7,43	-2335	
7,435	-2162	
7,44	-2079	
7,445	-2130	
7,45	-2309	
7,455	-2566	
7,46	-2807	
7,465	-2952	
7,47	-2944	
7,475	-2822	
7,48	-2619	
7,485	-2365	
7,49	-2344	
7,495	-2459	
7,5	-2658	
7,505	-2893	
7,51	-3053	
7,515	-3094	
7,52	-3010	
7,525	-2830	
7,53	-2631	
7,535	-2484	
7,54	-2444	
7,545	-2506	
7,55	-2661	
7,555	-2835	
7,56	-2946	
7,565	-2942	
7,57	-2818	
7,575	-2667	
7,58	-2502	
7,585	-2449	
7,59	-2480	
7,595	-2591	
7,6	-2683	
7,605	-2765	
7,61	-2754	
7,615	-2654	
7,62	-2499	
7,625	-2385	
7,63	-2285	
7,635	-2272	
7,64	-2333	
7,645	-2456	
7,65	-2477	
7,655	-2427	
7,66	-2311	
7,665	-2144	
7,67	-2004	
7,675	-1916	
7,68	-1942	
7,685	-2018	
7,69	-2122	
7,695	-2209	
7,7	-2195	
7,705	-2074	
7,71	-1889	
7,715	-1687	
7,72	-1519	
7,725	-1448	
7,73	-1535	
7,735	-1650	
7,74	-1734	
7,745	-1749	
7,75	-1646	
7,755	-1448	
7,76	-1201	
7,765	-984	
7,77	-859	
7,775	-844	
7,78	-948	
7,785	-1083	
7,79	-1224	
7,795	-1261	
7,8	-1183	
7,805	-878	
7,81	-639	
7,815	-457	
7,82	-341	
7,825	-357	
7,83	-472	
7,835	-574	
7,84	-631	
7,845	-609	
7,85	-486	
7,855	-265	
7,86	-43	
7,865	140	
7,87	228	
7,875	222	
7,88	140	
7,885	24	
7,89	-13	
7,895	46	
7,9	178	
7,905	344	
7,91	481	
7,915	588	
7,92	632	
7,925	600	
7,93	544	
7,935	531	
7,94	565	
7,945	653	
7,95	778	
7,955	910	
7,96	1007	
7,965	1048	
7,97	1036	
7,975	1008	
7,98	1004	
7,985	1047	
7,99	1145	
7,995	1251	
8,0	1348	
8,005	1406	
8,01	1394	
8,015	1350	
8,02	1286	
8,025	1251	
8,03	1261	
8,035	1349	
8,04	1465	
8,045	1590	
8,05	1724	
8,055	1732	
8,06	1675	
8,065	1578	
8,07	1506	
8,075	1483	
8,08	1527	
8,085	1650	
8,09	1806	
8,095	1935	
8,1	2020	
8,105	1999	
8,11	1898	
8,115	1752	
8,12	1615	
8,125	1538	
8,13	1607	
8,135	1750	
8,14	1928	
8,145	2081	
8,15	2150	
8,155	2103	
8,16	2006	
8,165	1837	
8,17	1689	
8,175	1605	
8,18	1633	
8,185	1723	
8,19	1866	
8,195	2000	
8,2	2082	
8,205	2026	
8,21	1829	
8,215	1670	
8,22	1527	
8,225	1494	
8,23	1541	
8,235	1644	
8,24	1769	
8,245	1862	
8,25	1871	
8,255	1808	
8,26	1696	
8,265	1570	
8,27	1481	
8,275	1444	
8,28	1453	
8,285	1535	
8,29	1641	
8,295	1639	
8,3	1599	
8,305	1504	
8,31	1385	
8,315	1278	
8,32	1235	
8,325	1231	
8,33	1276	
8,335	1324	
8,34	1329	
8,345	1285	
8,35	1189	
8,355	1091	
8,36	1006	
8,365	952	
8,37	952	
8,375	1045	
8,38	1080	
8,385	1057	
8,39	991	
8,395	844	
8,4	690	
8,405	589	
8,41	537	
8,415	564	
8,42	649	
8,425	760	
8,43	806	
8,435	769	
8,44	646	
8,445	485	
8,45	285	
8,455	113	
8,46	129	
8,465	234	
8,47	354	
8,475	455	
8,48	481	
8,485	398	
8,49	226	
8,495	22	
8,5	-160	
8,505	-261	
8,51	-266	
8,515	-173	
8,52	-32	
8,525	81	
8,53	111	
8,535	-13	
8,54	-188	
8,545	-413	
8,55	-537	
8,555	-614	
8,56	-573	
8,565	-480	
